match_id,date,gender,tournament,round,player_1,player_2,match_score,winner,loser,p1_fsp,p1_ssp,p1_df,p2_fsp,p2_ssp,p2_df
19910728-M-Canada_Masters-F-Petr_Korda-Andrei_Chesnokov,19910728,M,Canada Masters,F,Petr Korda,Andrei Chesnokov,6-3 4-6 3-6,Andrei Chesnokov,Petr Korda,63.0,91.0,3,52.0,98.0,1
19910811-M-Cincinnati_Masters-F-Pete_Sampras-Guy_Forget,19910811,M,Cincinnati Masters,F,Pete Sampras,Guy Forget,6-2 6-7 4-6,Guy Forget,Pete Sampras,61.0,97.0,1,60.0,97.0,1
19910818-M-New_Haven-F-Petr_Korda-Goran_Ivanisevic,19910818,M,New Haven,F,Petr Korda,Goran Ivanisevic,6-4 6-2,Petr Korda,Goran Ivanisevic,71.0,93.0,1,53.0,82.0,5
19910907-M-US_Open-SF-Ivan_Lendl-Stefan_Edberg,19910907,M,US Open,SF,Ivan Lendl,Stefan Edberg,3-6 3-6 4-6,Stefan Edberg,Ivan Lendl,48.0,95.0,2,67.0,89.0,3
19911026-M-Stockholm_Masters-SF-Aaron_Krickstein-Stefan_Edberg,19911026,M,Stockholm Masters,SF,Aaron Krickstein,Stefan Edberg,2-6 2-6,Stefan Edberg,Aaron Krickstein,57.0,100.0,0,58.0,84.0,3
19911027-W-Brighton-F-Steffi_Graf-Zina_Garrison,19911027,W,Brighton,F,Steffi Graf,Zina Garrison,5-7 6-4 6-1,Steffi Graf,Zina Garrison,66.0,95.0,2,62.0,94.0,2
19920122-M-Australian_Open-QF-Stefan_Edberg-Ivan_Lendl,19920122,M,Australian Open,QF,Stefan Edberg,Ivan Lendl,4-6 7-5 6-1 6-7 6-1,Stefan Edberg,Ivan Lendl,74.0,77.0,8,58.0,94.0,4
19920125-M-Australian_Open-SF-Wayne_Ferreira-Stefan_Edberg,19920125,M,Australian Open,SF,Wayne Ferreira,Stefan Edberg,6-7 1-6 2-6,Stefan Edberg,Wayne Ferreira,55.0,83.0,9,64.0,97.0,1
19920604-M-Roland_Garros-QF-Andre_Agassi-Pete_Sampras,19920604,M,Roland Garros,QF,Andre Agassi,Pete Sampras,7-6 6-2 6-1,Andre Agassi,Pete Sampras,64.0,97.0,1,41.0,88.0,7
19920701-M-Wimbledon-QF-Guy_Forget-John_Mcenroe,19920701,M,Wimbledon,QF,Guy Forget,John Mcenroe,2-6 6-7 3-6,John Mcenroe,Guy Forget,60.0,82.0,7,70.0,92.0,2
