h2h_win_ratio_diff,h2h_recent_momentum,recent_form_diff,win_rate_diff,serve_rating_diff,bp_conv_pctg_diff,dom_ratio_diff,fatigue_diff,match_volume_14d_diff,win_rate_hard_diff,target,match_id,date,player_id,opponent_id,win_rate_clay_diff,win_rate_grass_diff
0.0,0.0,0.25,0.20833333333333337,0.6953166666666667,-0.0357142857142857,0.9762500000000003,0.4,4.0,,1.0,402,2025-04-14,6,76,0.25,
0.0,0.0,-0.5,0.15000000000000002,0.6980526315789474,-0.2088607594936709,0.8663157894736842,0.1,1.0,,0.0,479,2025-04-14,7,97,-0.5,
0.0,0.0,-0.5,0.125,0.6355312499999999,-0.07377049180327871,0.5881250000000002,0.1,1.0,,0.0,2259,2025-04-21,42,323,0.375,
0.0,0.0,0.33333333333333337,-0.09027777777777779,-0.0704800000000001,-0.04598639455782311,-0.27000000000000024,0.0,0.0,,0.0,614,2025-04-23,9,14,0.25,
0.0,0.0,-0.16666666666666669,0.0,0.6700666666666667,-0.13492063492063489,0.7472222222222222,0.2,2.0,,0.0,2070,2025-04-23,37,80,-0.09999999999999998,
0.0,0.0,-0.5,0.11904761904761907,0.6936799999999999,-0.211864406779661,0.8525,0.1,1.0,,0.0,478,2025-04-23,7,123,-0.5,
0.0,0.0,0.09999999999999998,-0.12777777777777777,-0.02919607843137273,-0.0799999999999999,-0.11627450980392129,0.3,3.0,,1.0,665,2025-04-23,10,14,0.09999999999999998,
-0.2,-1.0,-0.06666666666666665,-0.0537037037037037,0.007281699346405324,-0.14992025518341306,-0.08997821350762458,-0.10000000000000003,-1.0,,1.0,666,2025-04-23,10,22,-0.08750000000000002,
0.0,0.0,0.26666666666666666,0.1954545454545455,-0.006438502673796864,-0.10928961748633875,0.2879679144385029,0.09999999999999998,1.0,,1.0,669,2025-04-23,10,21,0.26666666666666666,
0.0,0.0,-0.3333333333333333,-0.08963585434173671,-0.009089915966386641,0.016110471806674298,-0.10924369747899165,-0.19999999999999998,-2.0,,1.0,2169,2025-04-23,40,70,-0.13445378151260512,
0.0,0.0,0.0,-0.0625,0.63056875,-0.08585858585858586,0.546875,0.3,3.0,,1.0,1746,2025-04-23,30,150,0.0,
0.0,0.0,0.4166666666666667,0.09999999999999998,-0.05146000000000017,-0.041847041847041855,-0.24988888888888894,-0.2,-2.0,,0.0,1639,2025-04-23,28,37,0.35,
0.0,0.0,-0.16666666666666669,-0.04545454545454547,0.6741090909090909,-0.05737704918032788,0.4690909090909091,0.2,2.0,,1.0,1303,2025-04-23,21,279,-0.16666666666666669,
0.1,1.0,-0.16666666666666669,0.02941176470588236,0.6529529411764705,-0.12025316455696206,0.5764705882352941,0.1,1.0,,1.0,2168,2025-04-23,40,77,0.0714285714285714,
0.0,0.0,-0.16666666666666669,0.02941176470588236,0.6529529411764705,-0.12025316455696206,0.5764705882352941,0.1,1.0,,0.0,2167,2025-04-23,40,64,0.0714285714285714,
0.0,0.0,0.33333333333333337,0.1875,0.6263866666666666,-0.13265306122448983,0.603333333333333,0.0,0.0,,1.0,618,2025-04-23,9,58,0.25,
0.2,1.0,0.16666666666666674,0.02083333333333337,-0.07224666666666668,0.013605442176870708,-0.18238095238095253,-0.3,-3.0,,1.0,617,2025-04-23,9,25,0.08333333333333337,
0.0,0.0,0.6666666666666666,0.0037037037037037646,-0.04419532163742701,0.06786897313213103,0.16493177387914204,0.30000000000000004,3.0,,1.0,1345,2025-04-23,22,26,0.6875,
0.0,0.0,0.16666666666666663,0.20370370370370372,0.6603888888888887,-0.016746411483253565,0.8470370370370366,0.4,4.0,,1.0,1347,2025-04-23,22,82,0.1875,
0.0,0.0,0.16666666666666663,0.20370370370370372,0.6603888888888887,-0.016746411483253565,0.8470370370370366,0.4,4.0,,1.0,1348,2025-04-23,22,166,0.1875,
