match_key,date,time,tournament,round,first_player,second_player,odds_implied_prob_diff,odds_p1_implied_prob,odds_p1_moneyline,odds_p2_implied_prob,odds_p2_moneyline
12083884,2025-10-30,18:10:00,Paris,Paris - 1/8-finals,Lorenzo Sonego,Daniil Medvedev,-0.588725248930451,0.23094688221709006,4.33,0.819672131147541,1.22
12083885,2025-10-30,19:10:00,Paris,Paris - 1/8-finals,Francisco Cerundolo,Jannik Sinner,-0.8846153846153846,0.07692307692307693,13.0,0.9615384615384615,1.04
12083886,2025-10-30,21:00:00,Paris,Paris - 1/8-finals,Alejandro Davidovich Fokina,Alexander Zverev,-0.3308080808080808,0.36363636363636365,2.75,0.6944444444444444,1.44
12082794,2025-10-29,11:10:00,Paris,Paris - 1/16-finals,Daniel Altmaier,Casper Ruud,-0.42279411764705876,0.3125,3.2,0.7352941176470588,1.36
12083360,2025-10-29,11:15:00,Paris,Paris - 1/16-finals,Arthur Rinderknech,Valentin Vacherot,-0.18633540372670798,0.4347826086956522,2.3,0.6211180124223602,1.61
12082854,2025-10-29,12:45:00,Paris,Paris - 1/16-finals,Francisco Cerundolo,Miomir Kecmanovic,0.380952380952381,0.7142857142857143,1.4,0.3333333333333333,3.0
12083358,2025-10-29,12:55:00,Paris,Paris - 1/16-finals,Felix Auger-Aliassime,Alexandre Muller,0.55,0.8,1.25,0.25,4.0
12083414,2025-10-29,14:15:00,Paris,Paris - 1/16-finals,Grigor Dimitrov,Daniil Medvedev,-0.48351648351648346,0.2857142857142857,3.5,0.7692307692307692,1.3
12083361,2025-10-29,14:30:00,Paris,Paris - 1/16-finals,Camilo Ugo Carabelli,Alexander Zverev,-0.9042071197411004,0.06666666666666667,15.0,0.970873786407767,1.03
12083413,2025-10-29,16:15:00,Paris,Paris - 1/16-finals,Alejandro Davidovich Fokina,Arthur Cazaux,0.3308080808080808,0.6944444444444444,1.44,0.36363636363636365,2.75
12082853,2025-10-29,17:30:00,Paris,Paris - 1/16-finals,Zizou Bergs,Jannik Sinner,-0.9277605779153766,0.05263157894736842,19.0,0.9803921568627451,1.02
12082855,2025-10-29,18:40:00,Paris,Paris - 1/16-finals,Lorenzo Musetti,Lorenzo Sonego,0.48351648351648346,0.7692307692307692,1.3,0.2857142857142857,3.5
12083416,2025-10-29,19:35:00,Paris,Paris - 1/16-finals,Corentin Moutet,Alexander Bublik,-0.18633540372670798,0.4347826086956522,2.3,0.6211180124223602,1.61
12083359,2025-10-29,20:55:00,Paris,Paris - 1/16-finals,Gabriel Diallo,Alex De Minaur,-0.48351648351648346,0.2857142857142857,3.5,0.7692307692307692,1.3
12083415,2025-10-29,21:35:00,Paris,Paris - 1/16-finals,Karen Khachanov,Joao Fonseca,0.10520487264673317,0.5813953488372093,1.72,0.47619047619047616,2.1
12082284,2025-10-28,11:00:00,Paris,ATP Paris - 1/32-finals,Alejandro Davidovich Fokina,Ugo Humbert,-0.059044517248851514,0.49535603715170284,2.01875,0.5544005544005544,1.8037500000000002
12082285,2025-10-28,11:10:00,Paris,Paris - 1/32-finals,Tallon Griekspoor,Gabriel Diallo,0.10520487264673317,0.5813953488372093,1.72,0.47619047619047616,2.1
12082296,2025-10-28,11:10:00,Paris,Paris - 1/32-finals,Valentin Vacherot,Jiri Lehecka,-0.3308080808080808,0.36363636363636365,2.75,0.6944444444444444,1.44
12082699,2025-10-28,11:10:00,Paris,Paris - 1/32-finals,Felix Auger-Aliassime,Francisco Comesana,0.6111111111111112,0.8333333333333334,1.2,0.2222222222222222,4.5
12082700,2025-10-28,11:10:00,Paris,Paris - 1/32-finals,Martin Etcheverry Tomas,Camilo Ugo Carabelli,0.6953748006379585,0.8771929824561404,1.14,0.18181818181818182,5.5
12082701,2025-10-28,12:25:00,Paris,Paris - 1/32-finals,Corentin Moutet,Reilly Opelka,0.3308080808080808,0.6944444444444444,1.44,0.36363636363636365,2.75
12082294,2025-10-28,13:45:00,Paris,Paris - 1/32-finals,Denis Shapovalov,Joao Fonseca,-0.18633540372670798,0.4347826086956522,2.3,0.6211180124223602,1.61
12082291,2025-10-28,14:55:00,Paris,Paris - 1/32-finals,Jaume Munar,Daniil Medvedev,-0.380952380952381,0.3333333333333333,3.0,0.7142857142857143,1.4
12082850,2025-10-28,16:15:00,Paris,Paris - 1/32-finals,Alejandro Davidovich Fokina,Valentin Royer,0.3308080808080808,0.6944444444444444,1.44,0.36363636363636365,2.75
12082795,2025-10-28,18:30:00,Paris,Paris - 1/16-finals,Ben Shelton,Flavio Cobolli,0.0,0.5263157894736842,1.9,0.5263157894736842,1.9
12082793,2025-10-28,19:10:00,Paris,Paris - 1/16-finals,Carlos Alcaraz,Cameron Norrie,0.8614718614718614,0.9523809523809523,1.05,0.09090909090909091,11.0
12082851,2025-10-28,20:25:00,Paris,Paris - 1/16-finals,Learner Tien,Andrey Rublev,0.0,0.5263157894736842,1.9,0.5263157894736842,1.9
12082852,2025-10-28,21:50:00,Paris,Paris - 1/16-finals,Taylor Fritz,Aleksandar Vukic,0.7261904761904762,0.8928571428571428,1.12,0.16666666666666666,6.0
12082286,2025-10-27,11:00:00,Paris,ATP Paris - 1/32-finals,Karen Khachanov,Benjamin Bonzi,0.28498727735368956,0.6666666666666666,1.5,0.38167938931297707,2.62
12082287,2025-10-27,11:00:00,Paris,ATP Paris - 1/32-finals,Jakub Mensik,Francisco Cerundolo,0.1478641840087624,0.6024096385542169,1.66,0.45454545454545453,2.2
12082281,2025-10-27,11:10:00,Paris,Paris - 1/32-finals,Daniel Altmaier,Marcos Giron,-0.25359477124183005,0.4,2.5,0.6535947712418301,1.53
12082282,2025-10-27,11:10:00,Paris,Paris - 1/32-finals,Flavio Cobolli,Tomas Machac,0.1478641840087624,0.6024096385542169,1.66,0.45454545454545453,2.2
12082283,2025-10-27,11:15:00,Paris,Paris - 1/32-finals,Luciano Darderi,Arthur Cazaux,-0.380952380952381,0.3333333333333333,3.0,0.7142857142857143,1.4
12082292,2025-10-27,12:25:00,Paris,Paris - 1/32-finals,Cameron Norrie,Sebastian Baez,0.588725248930451,0.819672131147541,1.22,0.23094688221709006,4.33
12082295,2025-10-27,13:05:00,Paris,Paris - 1/32-finals,Learner Tien,Nuno Borges,0.25359477124183005,0.6535947712418301,1.53,0.4,2.5
12082359,2025-10-27,13:40:00,Paris,Paris - 1/32-finals,Fabian Marozsan,Arthur Rinderknech,-0.10520487264673317,0.47619047619047616,2.1,0.5813953488372093,1.72
12082695,2025-10-27,14:05:00,Paris,Paris - 1/32-finals,Aleksandar Vukic,Terence Atmane,0.0,0.5263157894736842,1.9,0.5263157894736842,1.9
12082696,2025-10-27,14:35:00,Paris,Paris - 1/32-finals,Aleksandar Kovacevic,Miomir Kecmanovic,-0.18633540372670798,0.4347826086956522,2.3,0.6211180124223602,1.61
12082693,2025-10-27,14:45:00,Paris,Paris - 1/32-finals,Francisco Cerundolo,Damir Dzumhur,0.4577620521892967,0.7518796992481203,1.33,0.29411764705882354,3.4
12082694,2025-10-27,16:10:00,Paris,Paris - 1/32-finals,Jacob Fearnley,Andrey Rublev,-0.1478641840087624,0.45454545454545453,2.2,0.6024096385542169,1.66
12082288,2025-10-27,16:20:00,Paris,Paris - 1/32-finals,Alex Michelsen,Zizou Bergs,0.0,0.5263157894736842,1.9,0.5263157894736842,1.9
12082293,2025-10-27,16:20:00,Paris,Paris - 1/32-finals,Alexei Popyrin,Alexander Bublik,-0.380952380952381,0.3333333333333333,3.0,0.7142857142857143,1.4
12082697,2025-10-27,17:10:00,Paris,Paris - 1/32-finals,Lorenzo Sonego,Sebastian Korda,-0.3308080808080808,0.36363636363636365,2.75,0.6944444444444444,1.44
