match_key,date,time,tournament,round,first_player,second_player,winner_is_first,has_stats,has_enough_stats,has_odds,num_stats_values,odds_implied_prob_diff,odds_p1_implied_prob,odds_p1_moneyline,odds_p2_implied_prob,odds_p2_moneyline
12084655,2025-11-02,11:10:00,Metz,Metz - Final,Jan Choinski,Kyrian Jacquet,1,0,0,1,0,-0.23165384297178793,0.42194092827004215,2.37,0.6535947712418301,1.53
12084715,2025-11-02,11:10:00,Metz,Metz - Final,Vitaliy Sachko,Clement Tabur,0,0,0,1,0,-0.055079559363525155,0.5263157894736842,1.9,0.5813953488372093,1.72
12084735,2025-11-02,12:05:00,Athens,Athens - Final,Shintaro Mochizuki,Mackenzie McDonald,0,0,0,1,0,-0.08139534883720934,0.5,2.0,0.5813953488372093,1.72
12084738,2025-11-02,13:10:00,Metz,Metz - Final,Dan Added,Francesco Passaro,0,0,0,1,0,-0.2666666666666666,0.4,2.5,0.6666666666666666,1.5
12084716,2025-11-02,13:35:00,Metz,Metz - Final,Luca van Assche,Moez Echargui,1,0,0,1,0,0.44418739155581255,0.7518796992481203,1.33,0.3076923076923077,3.25
12084737,2025-11-02,14:10:00,Athens,Athens - Final,Vit Kopriva,Eliot Spizzirri,0,0,0,1,0,-0.4751131221719456,0.29411764705882354,3.4,0.7692307692307692,1.3
12084736,2025-11-02,14:20:00,Athens,Athens - Final,Jan-Lennard Struff,Henry Bernet,1,0,0,1,0,0.35064935064935066,0.7142857142857143,1.4,0.36363636363636365,2.75
12084595,2025-11-02,15:10:00,Metz,Metz - 1/16-finals,Arthur Cazaux,Adrian Mannarino,1,0,0,1,0,0.28498727735368956,0.6666666666666666,1.5,0.38167938931297707,2.62
12084717,2025-11-02,15:15:00,Paris,Paris - Final,Felix Auger-Aliassime,Jannik Sinner,0,0,0,1,0,-0.8009259259259258,0.125,8.0,0.9259259259259258,1.08
12084568,2025-11-02,16:50:00,Athens,Athens - 1/16-finals,Alejandro Tabilo,Adam Walton,1,0,0,1,0,0.3308080808080808,0.6944444444444444,1.44,0.36363636363636365,2.75
12084567,2025-11-02,17:10:00,Athens,Athens - 1/16-finals,Stefanos Sakellaridis,Nuno Borges,0,0,0,1,0,-0.6111111111111112,0.2222222222222222,4.5,0.8333333333333334,1.2
12084592,2025-11-02,17:15:00,Metz,Metz - 1/16-finals,Terence Atmane,Hugo Gaston,0,0,0,1,0,-0.2150017468891935,0.42194092827004215,2.37,0.6369426751592356,1.57
12084566,2025-11-02,18:50:00,Athens,Athens - 1/16-finals,Alexei Popyrin,Sebastian Korda,0,0,0,1,0,-0.2150017468891935,0.42194092827004215,2.37,0.6369426751592356,1.57
12084543,2025-11-01,09:10:00,Athens,Athens - Semi-finals,Yannick Hanfmann,Lukas Klein,1,0,0,1,0,0.19249823071479122,0.6369426751592356,1.57,0.4444444444444444,2.25
12084544,2025-11-01,09:15:00,Athens,Athens - Semi-finals,Filip Misolic,Alex Molcan,0,0,0,1,0,0.08139534883720934,0.5813953488372093,1.72,0.5,2.0
12084546,2025-11-01,10:35:00,Athens,Athens - Semi-finals,Marco Trungelliti,Mackenzie McDonald,0,0,0,1,0,-0.569672131147541,0.25,4.0,0.819672131147541,1.22
12084550,2025-11-01,11:05:00,Metz,Metz - Semi-finals,Jan Choinski,Harold Mayot,1,0,0,1,0,-0.31276505513146735,0.38167938931297707,2.62,0.6944444444444444,1.44
12084551,2025-11-01,11:15:00,Metz,Metz - Semi-finals,Kyrian Jacquet,Andrea Pellegrino,1,0,0,1,0,0.6023864511162433,0.8333333333333334,1.2,0.23094688221709006,4.33
12084545,2025-11-01,11:25:00,Athens,Athens - Semi-finals,Shintaro Mochizuki,Pavlos Tsitsipas,1,0,0,1,0,0.9424799622819424,0.9900990099009901,1.01,0.047619047619047616,21.0
