Player,Match,first_serve_pctg,second_serve_pctg,double_faults,win
Mikhail Kukushkin,20200121-M-Australian_Open-R128-Marc_Polmans-Mikhail_Kukushkin,64.0,93.7,4,False
Pedro Martinez,20200121-M-Australian_Open-R128-Pedro_Martinez-Dominik_Koepfer,64.5,90.9,3,True
Dominik Koepfer,20200121-M-Australian_Open-R128-Pedro_Martinez-Dominik_Koepfer,73.7,96.2,1,False
Taylor Fritz,20200121-M-Australian_Open-R128-Taylor_Fritz-Tallon_Griekspoor,66.7,100.0,0,True
Tallon Griekspoor,20200121-M-Australian_Open-R128-Taylor_Fritz-Tallon_Griekspoor,65.2,90.3,3,False
Vasek Pospisil,20200121-M-Australian_Open-R128-Vasek_Pospisil-Ivo_Karlovic,60.2,84.6,6,False
Ivo Karlovic,20200121-M-Australian_Open-R128-Vasek_Pospisil-Ivo_Karlovic,68.1,90.0,3,True
Diego Schwartzman,20200122-M-Australian_Open-R64-Diego_Schwartzman-Alejandro_Davidovich_Fokina,56.3,86.8,5,True
Alejandro Davidovich Fokina,20200122-M-Australian_Open-R64-Diego_Schwartzman-Alejandro_Davidovich_Fokina,67.9,88.9,3,False
Jannik Sinner,20200122-M-Australian_Open-R64-Jannik_Sinner-Marton_Fucsovics,54.5,91.3,4,False
Marton Fucsovics,20200122-M-Australian_Open-R64-Jannik_Sinner-Marton_Fucsovics,62.5,90.9,3,True
Tennys Sandgren,20200122-M-Australian_Open-R64-Tennys_Sandgren-Matteo_Berrettini,71.9,95.1,2,True
Matteo Berrettini,20200122-M-Australian_Open-R64-Tennys_Sandgren-Matteo_Berrettini,64.9,94.4,3,False
Gael Monfils,20200123-M-Australian_Open-R64-Gael_Monfils-Ivo_Karlovic,72.2,80.0,7,True
Ivo Karlovic,20200123-M-Australian_Open-R64-Gael_Monfils-Ivo_Karlovic,61.6,86.8,7,False
Guido Pella,20200124-M-Australian_Open-R32-Guido_Pella-Fabio_Fognini,70.1,96.2,1,False
Fabio Fognini,20200124-M-Australian_Open-R32-Guido_Pella-Fabio_Fognini,64.2,85.3,5,True
John Millman,20200124-M-Australian_Open-R32-John_Millman-Roger_Federer,62.4,94.4,4,False
Roger Federer,20200124-M-Australian_Open-R32-John_Millman-Roger_Federer,65.9,89.7,6,True
Alexei Popyrin,20200125-M-Australian_Open-R32-Alexei_Popyrin-Daniil_Medvedev,65.1,76.7,7,False
Daniil Medvedev,20200125-M-Australian_Open-R32-Alexei_Popyrin-Daniil_Medvedev,55.3,91.2,3,True
Fernando Verdasco,20200125-M-Australian_Open-R32-Fernando_Verdasco-Alexander_Zverev,58.3,94.3,2,False
Alexander Zverev,20200125-M-Australian_Open-R32-Fernando_Verdasco-Alexander_Zverev,74.4,85.7,3,True
Rafael Nadal,20200125-M-Australian_Open-R32-Rafael_Nadal-Pablo_Carreno_Busta,62.9,100.0,0,True
Pablo Carreno Busta,20200125-M-Australian_Open-R32-Rafael_Nadal-Pablo_Carreno_Busta,65.1,95.5,1,False
Taylor Fritz,20200125-M-Australian_Open-R32-Taylor_Fritz-Dominic_Thiem,69.7,89.2,4,False
Dominic Thiem,20200125-M-Australian_Open-R32-Taylor_Fritz-Dominic_Thiem,67.2,88.6,5,True
Novak Djokovic,20200126-M-Australian_Open-R16-Novak_Djokovic-Diego_Schwartzman,64.0,96.8,1,True
Diego Schwartzman,20200126-M-Australian_Open-R16-Novak_Djokovic-Diego_Schwartzman,58.4,89.2,4,False
Roger Federer,20200126-M-Australian_Open-R16-Roger_Federer-Marton_Fucsovics,61.2,100.0,0,True
Marton Fucsovics,20200126-M-Australian_Open-R16-Roger_Federer-Marton_Fucsovics,49.4,97.8,1,False
Tennys Sandgren,20200126-M-Australian_Open-R16-Tennys_Sandgren-Fabio_Fognini,69.0,95.5,2,True
Fabio Fognini,20200126-M-Australian_Open-R16-Tennys_Sandgren-Fabio_Fognini,52.3,95.2,3,False
Robin Haase,20200126-M-Bangkok_CH-F-Robin_Haase-Federico_Gaio,60.4,90.0,4,False
Federico Gaio,20200126-M-Bangkok_CH-F-Robin_Haase-Federico_Gaio,63.7,69.0,9,True
Andrey Rublev,20200127-M-Australian_Open-R16-Andrey_Rublev-Alexander_Zverev,65.4,82.1,5,False
Alexander Zverev,20200127-M-Australian_Open-R16-Andrey_Rublev-Alexander_Zverev,75.0,83.3,3,True
Gael Monfils,20200127-M-Australian_Open-R16-Gael_Monfils-Dominic_Thiem,76.0,100.0,0,False
Dominic Thiem,20200127-M-Australian_Open-R16-Gael_Monfils-Dominic_Thiem,65.7,95.8,1,True
Rafael Nadal,20200127-M-Australian_Open-R16-Rafael_Nadal-Nick_Kyrgios,66.1,90.2,4,True
Nick Kyrgios,20200127-M-Australian_Open-R16-Rafael_Nadal-Nick_Kyrgios,74.8,86.8,5,False
Stan Wawrinka,20200127-M-Australian_Open-R16-Stan_Wawrinka-Daniil_Medvedev,68.1,97.7,1,True
Daniil Medvedev,20200127-M-Australian_Open-R16-Stan_Wawrinka-Daniil_Medvedev,69.2,95.5,2,False
Novak Djokovic,20200128-M-Australian_Open-QF-Novak_Djokovic-Milos_Raonic,72.3,96.4,1,True
Milos Raonic,20200128-M-Australian_Open-QF-Novak_Djokovic-Milos_Raonic,64.8,88.9,5,False
Roger Federer,20200128-M-Australian_Open-QF-Roger_Federer-Tennys_Sandgren,65.5,94.9,3,True
Tennys Sandgren,20200128-M-Australian_Open-QF-Roger_Federer-Tennys_Sandgren,64.7,90.6,5,False
Rafael Nadal,20200129-M-Australian_Open-QF-Rafael_Nadal-Dominic_Thiem,69.5,93.5,3,False
Dominic Thiem,20200129-M-Australian_Open-QF-Rafael_Nadal-Dominic_Thiem,59.3,93.0,4,True
Stan Wawrinka,20200129-M-Australian_Open-QF-Stan_Wawrinka-Alexander_Zverev,57.1,88.9,5,False
Alexander Zverev,20200129-M-Australian_Open-QF-Stan_Wawrinka-Alexander_Zverev,79.6,94.7,1,True
Roger Federer,20200130-M-Australian_Open-SF-Roger_Federer-Novak_Djokovic,65.4,91.7,3,False
Novak Djokovic,20200130-M-Australian_Open-SF-Roger_Federer-Novak_Djokovic,71.6,96.6,1,True
Dominic Thiem,20200131-M-Australian_Open-SF-Dominic_Thiem-Alexander_Zverev,68.8,91.1,4,True
Alexander Zverev,20200131-M-Australian_Open-SF-Dominic_Thiem-Alexander_Zverev,81.1,87.5,3,False
Arthur Cazaux,20200201-M-Australian_Open_Juniors-F-Arthur_Cazaux-Harold_Mayot,81.1,100.0,0,False
Harold Mayot,20200201-M-Australian_Open_Juniors-F-Arthur_Cazaux-Harold_Mayot,57.4,95.0,1,True
Novak Djokovic,20200202-M-Australian_Open-F-Novak_Djokovic-Dominic_Thiem,64.9,89.4,5,True
Dominic Thiem,20200202-M-Australian_Open-F-Novak_Djokovic-Dominic_Thiem,64.7,91.7,5,False
Marco Cecchinato,20200202-M-Punta_del_Este_CH-F-Marco_Cecchinato-Thiago_Monteiro,69.8,94.3,2,False
Thiago Monteiro,20200202-M-Punta_del_Este_CH-F-Marco_Cecchinato-Thiago_Monteiro,58.9,98.0,1,True
Mikael Ymer,20200204-M-Montpellier-R32-Mikael_Ymer-Jannik_Sinner,67.2,84.2,3,True
Jannik Sinner,20200204-M-Montpellier-R32-Mikael_Ymer-Jannik_Sinner,59.6,85.7,3,False
Sergiy Stakhovsky,20200204-M-Montpellier-R32-Sergiy_Stakhovsky-Pierre_Hugues_Herbert,67.1,88.0,3,False
Pierre Hugues Herbert,20200204-M-Montpellier-R32-Sergiy_Stakhovsky-Pierre_Hugues_Herbert,58.6,87.5,3,True
James Duckworth,20200208-M-Pune-SF-James_Duckworth-Egor_Gerasimov,71.4,95.5,1,False
Egor Gerasimov,20200208-M-Pune-SF-James_Duckworth-Egor_Gerasimov,68.2,90.5,2,True
Gael Monfils,20200209-M-Montpellier-F-Gael_Monfils-Vasek_Pospisil,70.0,79.2,5,True
Vasek Pospisil,20200209-M-Montpellier-F-Gael_Monfils-Vasek_Pospisil,66.1,84.2,3,False
Grigor Dimitrov,20200210-M-Rotterdam-R32-Grigor_Dimitrov-Denis_Shapovalov,62.9,80.8,5,True
Denis Shapovalov,20200210-M-Rotterdam-R32-Grigor_Dimitrov-Denis_Shapovalov,64.5,81.8,4,False
Nikoloz Basilashvili,20200211-M-Rotterdam-R32-Nikoloz_Basilashvili-Andrey_Rublev,43.4,73.3,8,False
Andrey Rublev,20200211-M-Rotterdam-R32-Nikoloz_Basilashvili-Andrey_Rublev,56.4,100.0,0,True
Stefanos Tsitsipas,20200211-M-Rotterdam-R32-Stefanos_Tsitsipas-Hubert_Hurkacz,60.0,96.9,1,True
Hubert Hurkacz,20200211-M-Rotterdam-R32-Stefanos_Tsitsipas-Hubert_Hurkacz,52.0,87.2,6,False
Tallon Griekspoor,20200211-M-Rotterdam-R32-Tallon_Griekspoor-Filip_Krajinovic,62.0,84.2,3,False
Filip Krajinovic,20200211-M-Rotterdam-R32-Tallon_Griekspoor-Filip_Krajinovic,58.3,95.0,1,True
Robin Haase,20200212-M-Rotterdam-R32-Robin_Haase-David_Goffin,56.2,91.8,4,False
David Goffin,20200212-M-Rotterdam-R32-Robin_Haase-David_Goffin,63.9,92.3,3,True
Gilles Simon,20200213-M-Rotterdam-R16-Gilles_Simon-Gael_Monfils,49.0,96.2,1,False
Gael Monfils,20200213-M-Rotterdam-R16-Gilles_Simon-Gael_Monfils,70.2,88.2,2,True
Ugo Humbert,20200214-M-New_York-QF-Ugo_Humbert-Miomir_Kecmanovic,62.8,93.1,2,False
Miomir Kecmanovic,20200214-M-New_York-QF-Ugo_Humbert-Miomir_Kecmanovic,67.1,96.2,1,True
Filip Krajinovic,20200214-M-Rotterdam-QF-Filip_Krajinovic-Andrey_Rublev,56.9,100.0,0,True
Andrey Rublev,20200214-M-Rotterdam-QF-Filip_Krajinovic-Andrey_Rublev,67.2,100.0,0,False
Gael Monfils,20200215-M-Rotterdam-SF-Gael_Monfils-Filip_Krajinovic,77.5,93.8,1,True
Filip Krajinovic,20200215-M-Rotterdam-SF-Gael_Monfils-Filip_Krajinovic,73.3,91.3,2,False
Felix Auger Aliassime,20200216-M-Rotterdam-F-Felix_Auger_Aliassime-Gael_Monfils,58.2,78.3,5,False
Gael Monfils,20200216-M-Rotterdam-F-Felix_Auger_Aliassime-Gael_Monfils,67.2,100.0,0,True
