match,tournament,round,date,completed,log_reg_prob,rf_prob,ens_prob,log_reg_ml_p1,log_reg_ml_p2,rf_ml_p1,rf_ml_p2,ens_ml_p1,ens_ml_p2,log_reg_dec_p1,log_reg_dec_p2,rf_dec_p1,rf_dec_p2,ens_dec_p1,ens_dec_p2
10477,Granby CH,Q1,2025-07-14,True,0.7994188845653672,0.28354297981179405,0.3351305702871514,-399,399,253,-253,198,-198,1.2509,4.9855,3.5268,1.3958,2.9839,1.5041
15844,M15 Rancho Santa Fe CA,R32,2025-06-16,True,0.75902149607317,0.306722962178636,0.3519528155680894,-315,315,226,-226,184,-184,1.3175,4.1497,3.2603,1.4424,2.8413,1.5431
17186,M25 Shenzhen,F,2025-03-17,True,0.8143269465052686,0.9830598337022057,0.966186544982512,-439,439,-5803,5803,-2857,2857,1.228,5.3858,1.0172,59.0313,1.035,29.574
17187,M25 Shenzhen,SF,2025-03-17,True,0.9027695982654255,0.6999788741819658,0.7202579465903118,-928,928,-233,233,-257,257,1.1077,10.2848,1.4286,3.3331,1.3884,3.5747
17188,M25 Shenzhen,QF,2025-03-17,True,0.8143269465052686,0.9830598337022057,0.966186544982512,-439,439,-5803,5803,-2857,2857,1.228,5.3858,1.0172,59.0313,1.035,29.574
17189,M25 Shenzhen,R16,2025-03-17,True,0.8143269465052686,0.9830598337022057,0.966186544982512,-439,439,-5803,5803,-2857,2857,1.228,5.3858,1.0172,59.0313,1.035,29.574
17190,M25 Shenzhen,R32,2025-03-17,True,0.8143269465052686,0.9830598337022057,0.966186544982512,-439,439,-5803,5803,-2857,2857,1.228,5.3858,1.0172,59.0313,1.035,29.574
19242,Buenos Aires CH,Q2,2025-09-22,True,0.6497086663384506,0.2147106017191977,0.258210408181123,-185,185,366,-366,287,-287,1.5392,2.8548,4.6574,1.2734,3.8728,1.3481
19243,Buenos Aires CH,Q1,2025-09-22,True,0.75902149607317,0.8683526043775938,0.8574194935471514,-315,315,-660,660,-601,601,1.3175,4.1497,1.1516,7.596,1.1663,7.0136
20484,Sofia 1 CH,R16,2025-08-11,True,0.6315135948469479,0.61,0.6121513594846948,-171,171,-156,156,-158,158,1.5835,2.7138,1.6393,2.5641,1.6336,2.5783
22149,M25 Perth,F,2025-10-06,True,0.7755759397899625,0.490894612628456,0.5193627453446067,-346,346,104,-104,-108,108,1.2894,4.4559,2.0371,1.9642,1.9254,2.0806
22150,M25 Perth,SF,2025-10-06,True,0.7755759397899625,0.490894612628456,0.5193627453446067,-346,346,104,-104,-108,108,1.2894,4.4559,2.0371,1.9642,1.9254,2.0806
22151,M25 Perth,QF,2025-10-06,True,0.7755759397899625,0.490894612628456,0.5193627453446067,-346,346,104,-104,-108,108,1.2894,4.4559,2.0371,1.9642,1.9254,2.0806
22152,M25 Perth,R32,2025-10-06,True,0.7755759397899625,0.490894612628456,0.5193627453446067,-346,346,104,-104,-108,108,1.2894,4.4559,2.0371,1.9642,1.9254,2.0806
22153,M25 Perth,R32,2025-09-29,True,0.7981757222041619,0.23437341235042858,0.2907536433358019,-395,395,327,-327,244,-244,1.2529,4.9548,4.2667,1.3061,3.4393,1.4099
22420,Hersonissos 6 CH,Q2,2025-10-13,True,0.7845658442907324,0.9014454493466275,0.889757488841038,-364,364,-915,915,-807,807,1.2746,4.6418,1.1093,10.1467,1.1239,9.0709
22421,Hersonissos 6 CH,Q1,2025-10-13,True,0.7845658442907324,0.9014454493466275,0.889757488841038,-364,364,-915,915,-807,807,1.2746,4.6418,1.1093,10.1467,1.1239,9.0709
